internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,release_date,release_year,date
BATTLEGROUNDSTHEPIRATEKING,Battlegrounds : The Pirate King,/game/battlegrounds-the-pirate-king/,t7M1ZDdKzF%2BSkOdzRi67TR5O17tjgjqDWwvugP82Umk%3D,1,324590,0.98,19.98,1,95.095095,0,,0,0,2907650,1712880000,1781451161,1.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2907650/capsule_231x87.jpg?t=1750114974,2024-04-12 00:00:00+00:00,2024,04/12/24
THERITUAL,The Ritual,/game/the-ritual/,CvUHV%2FK0wVyCKAIDXn3JUcyAgLG5bfyyoO8xfMrHHw4%3D,1,324592,0.98,19.98,1,95.095095,0,,0,0,3122100,1746144000,1781452594,2.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3122100/capsule_231x87.jpg?t=1750114596,2025-05-02 00:00:00+00:00,2025,05/02/25
ASWANGDETECTIVETHECASEOFNEWYORK,Aswang Detective: The Case of New York,/game/aswang-detective-the-case-of-new-york/,KcGZHBBKZc0%2BFSaAruWvMDi%2BstJzEqKCuiNbEihOKNk%3D,1,323829,0.74,14.99,1,95.063376,0,,0,0,2197170,1667952000,1782626106,0.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2197170/capsule_231x87.jpg?t=1765895987,2022-11-09 00:00:00+00:00,2022,11/09/22
VIAMORTIS,Via Mortis,/game/via-mortis/,6Zm3rUNiI5vM9WDNCX%2BvGIMiqRP5wgVKP0YRiuu%2BnyE%3D,1,325812,0.74,14.99,1,95.063376,0,,0,0,1987550,1652918400,1782769849,1.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1987550/capsule_231x87.jpg?t=1766062163,2022-05-19 00:00:00+00:00,2022,05/19/22
UNCLAIMEDWORLD,Unclaimed World,/game/unclaimed-world/,oOIeSWUAU6bwhCt8eVnsnELwb%2FXff3yYYMvmf%2FezlBA%3D,1,107953,0.84,16.99,1,95.055915,0,Mixed,50,176,284100,1475539200,1782409368,7.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/284100/capsule_231x87.jpg?t=1776715044,2016-10-04 00:00:00+00:00,2016,10/04/16
SUPERSWITCH,Super Switch,/game/super-switch/,%2Fc35V7i5wri0Q6DVGelbBolgLoueRc3LqAd9Ytkh2zU%3D,1,157801,0.84,16.99,1,95.055915,0,Very Positive,81,125,521430,1472083200,1782419191,7.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/521430/capsule_231x87.jpg?t=1613074226,2016-08-25 00:00:00+00:00,2016,08/25/16
REMBRUNIR2,Rembrunir 2,/game/rembrunir-2/,wVXLmzV5KzAMRl04KsZlN7hPhk5DH8xjp3yELj8jtVs%3D,1,324239,0.89,17.99,1,95.052807,0,,0,0,4194010,1767312000,1782485093,4.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/4194010/81f3db3553b7daf7e8dcf17e21c9eee8be7e2b94/capsule_231x87.jpg?t=1779973872,2026-01-02 00:00:00+00:00,2026,01/02/26
METROLASTLIGHTREDUX,Metro: Last Light Redux,/game/metro-last-light-redux/,XhuIoeWVY29a9sUD6GO1N8Imy7c6MN06GhWf5F293oE%3D,1,109745,0.99,19.99,1,95.047524,76,Very Positive,88,20442,287390,1408924800,1782413681,8.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/287390/capsule_231x87.jpg?t=1725444535,2014-08-25 00:00:00+00:00,2014,08/25/14
METRO2033REDUX,Metro 2033 Redux,/game/metro-2033-redux/,o35o2DS12hd%2BlYrHgmxPiMry13keOtIO83Cziy6I2l8%3D,1,109746,0.99,19.99,1,95.047524,90,Very Positive,88,28041,286690,1408924800,1782413649,9.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/286690/capsule_231x87.jpg?t=1741110084,2014-08-25 00:00:00+00:00,2014,08/25/14
HEROESWANTED,Heroes Wanted,/game/heroes-wanted/,UoLY59Er9PzZYs2YD%2BFzQZdQeTe%2FYlTaOXs2zhHwntU%3D,1,278586,0.99,19.99,1,95.047524,0,Very Positive,81,511,2667410,1718064000,1782414764,7.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2667410/capsule_231x87.jpg?t=1718191118,2024-06-11 00:00:00+00:00,2024,06/11/24
THEGREATAXE,The Great Axe,/game/the-great-axe/,hsntG9QCFxUxaDkekcfn%2BJx4j8Yc2uX%2BRp5fwtWQx0E%3D,1,303693,0.99,19.99,1,95.047524,0,Positive,84,13,3592340,1744156800,1782407200,3.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3592340/01853ca9f098bc4769bc286668e109e8d34a177d/capsule_231x87.jpg?t=1776844865,2025-04-09 00:00:00+00:00,2025,04/09/25
ONECHANCE,One Chance,/game/one-chance/,29sAm0jDKGWCGMQ0VrByAb1uASyQ5riRe%2FwnjfK2xfA%3D,1,305060,0.99,19.99,1,95.047524,0,Positive,90,11,2862040,1716422400,1782407289,3.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2862040/capsule_231x87.jpg?t=1742930660,2024-05-23 00:00:00+00:00,2024,05/23/24
LUNATICTAXIDRIVER,Lunatic Taxi Driver,/game/lunatic-taxi-driver/,n03moVA1WOrD0jLkc5pFo4mED2yAXnOnbyw56c7VTM4%3D,1,305061,0.99,19.99,1,95.047524,0,Positive,85,14,2862030,1711238400,1782407352,3.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2862030/capsule_231x87.jpg?t=1711297063,2024-03-24 00:00:00+00:00,2024,03/24/24
